"wariant";"profil";"nr";"kategoria";"kategoria_nazwa";"kafelek1_kod";"kafelek1";"kafelek2_kod";"kafelek2";"opis_stanu";"procedura_html";"confluence_storage"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"1";"A";"OK";"ziel";"zielony";"ziel";"zielony";"Dokument wysłany prawidłowo do CCTool, otrzymano potwierdzenie ACK z pozytywnym komunikatem.";"<strong>Brak działań — proces poprawny.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 1 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany prawidłowo do CCTool, otrzymano potwierdzenie ACK z pozytywnym komunikatem.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — proces poprawny.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"2";"A";"OK";"ziel";"zielony";"ziel_R";"zielony R";"Dokument wysłany prawidłowo do CCTool. Dyspozytor ustawił status ręcznie 'R' po weryfikacji w CCTool.";"<strong>Brak działań.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 2 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany prawidłowo do CCTool. Dyspozytor ustawił status ręcznie 'R' po weryfikacji w CCTool.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"3";"A";"OK";"fiol";"fioletowy";"fiol";"fioletowy";"Dokument wysłany prawidłowo do CCTool po CET, ACK napłynął po CET z pozytywnym komunikatem.";"<strong>Brak działań — dostarczone po CET, OK.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 3 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Blue</ac:parameter><ac:parameter ac:name=""title"">fioletowy</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Blue</ac:parameter><ac:parameter ac:name=""title"">fioletowy</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany prawidłowo do CCTool po CET, ACK napłynął po CET z pozytywnym komunikatem.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — dostarczone po CET, OK.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"4";"A";"OK";"ziel_R";"zielony R";"ziel_R";"zielony R";"Dokument oznaczony ręcznie jako wysłany prawidłowo do CCTool oraz otrzymanie potwierdzenia ACK.";"<strong>Brak działań.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 4 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument oznaczony ręcznie jako wysłany prawidłowo do CCTool oraz otrzymanie potwierdzenia ACK.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"5";"A";"OK";"cz_W";"ciemnozielony W";"ziel";"zielony";"Dokument prawidłowo wysłany ręcznie z poziomu CCM. Otrzymano potwierdzenie ACK z pozytywnym komunikatem.";"<strong>Brak działań — wysyłka ręczna wykonana.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 5 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">ciemnozielony W</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM. Otrzymano potwierdzenie ACK z pozytywnym komunikatem.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — wysyłka ręczna wykonana.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"6";"A";"OK";"cz_W";"ciemnozielony W";"puste";"puste/białe";"Dokument prawidłowo wysłany ręcznie z poziomu CCM. Trwa oczekiwanie na potwierdzenie ACK — około 2 min.";"<strong>Postępowanie:</strong><ol><li>Czekaj 5 min</li><li>OK → ustaw 'R' w CCM</li></ol>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 6 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">ciemnozielony W</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">—</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM. Trwa oczekiwanie na potwierdzenie ACK — około 2 min.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li>Czekaj 5 min</li><li>OK → ustaw 'R' w CCM</li></ol></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"7";"A";"OK";"cz_W";"ciemnozielony W";"czerw_qmark";"czerwony ?";"Dokument wysłany ręcznie z poziomu CCM, ale ACK nie napłynął w żądanym czasie i zbliża się CET.";"<strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a> → sprawdź czy plik dotarł (Message Viewer)</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>OK</b> → oznacz 'R' w CCM</li><li><b>błąd</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul class=""codes""><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"" target=""_blank"" contenteditable=""false"">R05 — pełny opis</a>]</span></li><li><b>brak</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"" target=""_blank"" contenteditable=""false"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie wygeneruj plik w <a href=""Inwentarz_IDCC.html#N08"" target=""_blank"" contenteditable=""false"">KreatorIDCF_CGMES</a> i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"" target=""_blank"" contenteditable=""false"">Core CC Tool (Manual Upload)</a>. <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"" target=""_blank"" contenteditable=""false"">R18 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 7 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">ciemnozielony W</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony ?</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany ręcznie z poziomu CCM, ale ACK nie napłynął w żądanym czasie i zbliża się CET.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a> → sprawdź czy plik dotarł (Message Viewer)</li></ol><strong>Jeżeli:</strong><ul><li><b>OK</b> → oznacz 'R' w CCM</li><li><b>błąd</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"">R05 — pełny opis</a>]</span></li><li><b>brak</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie wygeneruj plik w <a href=""Inwentarz_IDCC.html#N08"">KreatorIDCF_CGMES</a> i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"">Core CC Tool (Manual Upload)</a>. <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"">R18 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"8";"A";"OK";"cz_W";"ciemnozielony W";"czerw";"czerwony";"Dokument wysłany ręcznie z poziomu CCM, a otrzymane ACK: (1) zawiera komunikat błędu (najedź kursorem); (2) proces zakończył się błędem — 'Błąd procesu'.";"<strong>Postępowanie:</strong><ol><li>Najedź kursorem na status i odczytaj kod ACK</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>kod 20 (bramka dla pliku zamknięta)</b> → zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a></li><li><b>kod 21 (wersja nie jest wyższa niż zapisana)</b> → wygeneruj kolejną wersję w <a href=""Inwentarz_IDCC.html#N08"" target=""_blank"" contenteditable=""false"">KreatorIDCF_CGMES</a> i opublikuj (Publikuj Connector)  &middot; <a href=""Procedura_KreatorIDCF_GLSK_CBCORA.html"" target=""_blank"" contenteditable=""false"">szczegółowa procedura (ze screenami)</a></li><li><b>kod 30 (rozmiar pliku niezgodny)</b> → wygeneruj ponownie w <a href=""Inwentarz_IDCC.html#N08"" target=""_blank"" contenteditable=""false"">KreatorIDCF_CGMES</a> i opublikuj (Publikuj Connector)  &middot; <a href=""Procedura_KreatorIDCF_GLSK_CBCORA.html"" target=""_blank"" contenteditable=""false"">szczegółowa procedura (ze screenami)</a></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 8 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">ciemnozielony W</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany ręcznie z poziomu CCM, a otrzymane ACK: (1) zawiera komunikat błędu (najedź kursorem); (2) proces zakończył się błędem — 'Błąd procesu'.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li>Najedź kursorem na status i odczytaj kod ACK</li></ol><strong>Jeżeli:</strong><ul><li><b>kod 20 (bramka dla pliku zamknięta)</b> → zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a></li><li><b>kod 21 (wersja nie jest wyższa niż zapisana)</b> → wygeneruj kolejną wersję w <a href=""Inwentarz_IDCC.html#N08"">KreatorIDCF_CGMES</a> i opublikuj (Publikuj Connector)  &middot; <a href=""Procedura_KreatorIDCF_GLSK_CBCORA.html"">szczegółowa procedura (ze screenami)</a></li><li><b>kod 30 (rozmiar pliku niezgodny)</b> → wygeneruj ponownie w <a href=""Inwentarz_IDCC.html#N08"">KreatorIDCF_CGMES</a> i opublikuj (Publikuj Connector)  &middot; <a href=""Procedura_KreatorIDCF_GLSK_CBCORA.html"">szczegółowa procedura (ze screenami)</a></li></ul></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"9";"A";"OK";"cz_W";"ciemnozielony W";"fiol";"fioletowy";"Dokument prawidłowo wysłany ręcznie z poziomu CCM. Otrzymano potwierdzenie ACK z pozytywnym komunikatem po CET.";"<strong>Brak działań — ręczna + ACK po CET, OK.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 9 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">ciemnozielony W</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Blue</ac:parameter><ac:parameter ac:name=""title"">fioletowy</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM. Otrzymano potwierdzenie ACK z pozytywnym komunikatem po CET.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — ręczna + ACK po CET, OK.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"10";"A";"OK";"cz_W";"ciemnozielony W";"czarn";"czarny";"Dokument prawidłowo wysłany ręcznie z poziomu CCM. Nie otrzymano potwierdzenia ACK — upłynął czas CET.";"<strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a> → sprawdź status</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>OK (Processed)</b> → oznacz 'R' w CCM + zgłoś</li><li><b>brak / awaria zwrotna</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"" target=""_blank"" contenteditable=""false"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie wygeneruj plik w <a href=""Inwentarz_IDCC.html#N08"" target=""_blank"" contenteditable=""false"">KreatorIDCF_CGMES</a> i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"" target=""_blank"" contenteditable=""false"">Core CC Tool (Manual Upload)</a>. <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"" target=""_blank"" contenteditable=""false"">R18 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 10 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">ciemnozielony W</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">czarny</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM. Nie otrzymano potwierdzenia ACK — upłynął czas CET.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a> → sprawdź status</li></ol><strong>Jeżeli:</strong><ul><li><b>OK (Processed)</b> → oznacz 'R' w CCM + zgłoś</li><li><b>brak / awaria zwrotna</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie wygeneruj plik w <a href=""Inwentarz_IDCC.html#N08"">KreatorIDCF_CGMES</a> i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"">Core CC Tool (Manual Upload)</a>. <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"">R18 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"11";"A";"OK";"cz_W";"ciemnozielony W";"ziel_R";"zielony R";"Dokument prawidłowo wysłany ręcznie z poziomu CCM. Nie otrzymano ACK, Dyspozytor ustawił status 'R' po weryfikacji w CCTool.";"<strong>Brak działań — decyzja ręczna Dyspozytora.</strong>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 11 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">ciemnozielony W</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">zielony R</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM. Nie otrzymano ACK, Dyspozytor ustawił status 'R' po weryfikacji w CCTool.</p><p><strong>Procedury awaryjne:</strong></p><strong>Brak działań — decyzja ręczna Dyspozytora.</strong></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"12";"A";"OK";"cz_Wcet";"ciemnozielony W po CET";"puste";"puste/białe";"Dokument prawidłowo wysłany ręcznie z poziomu CCM po CET. Trwa oczekiwanie na potwierdzenie ACK — około 2 min.";"<strong>Postępowanie:</strong><ol><li>Czekaj 2-5 min</li><li>OK → ustaw 'R'</li></ol>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 12 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">W po CET</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Grey</ac:parameter><ac:parameter ac:name=""title"">—</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument prawidłowo wysłany ręcznie z poziomu CCM po CET. Trwa oczekiwanie na potwierdzenie ACK — około 2 min.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li>Czekaj 2-5 min</li><li>OK → ustaw 'R'</li></ol></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"13";"A";"OK";"cz_Wcet";"ciemnozielony W po CET";"czerw_qmark";"czerwony ?";"Dokument wysłany ręcznie z poziomu CCM po CET. Trwa oczekiwanie na potwierdzenie ACK — upłynęło więcej niż 2 minuty.";"<strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a> → sprawdź czy plik dotarł (Message Viewer)</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>OK</b> → oznacz 'R' w CCM</li><li><b>błąd</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul class=""codes""><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"" target=""_blank"" contenteditable=""false"">R05 — pełny opis</a>]</span></li><li><b>brak</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"" target=""_blank"" contenteditable=""false"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie wygeneruj plik w <a href=""Inwentarz_IDCC.html#N08"" target=""_blank"" contenteditable=""false"">KreatorIDCF_CGMES</a> i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"" target=""_blank"" contenteditable=""false"">Core CC Tool (Manual Upload)</a>. <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"" target=""_blank"" contenteditable=""false"">R18 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 13 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">W po CET</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony ?</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany ręcznie z poziomu CCM po CET. Trwa oczekiwanie na potwierdzenie ACK — upłynęło więcej niż 2 minuty.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li><a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a> → sprawdź czy plik dotarł (Message Viewer)</li></ol><strong>Jeżeli:</strong><ul><li><b>OK</b> → oznacz 'R' w CCM</li><li><b>błąd</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"">R05 — pełny opis</a>]</span></li><li><b>brak</b> → Awaria transportu plików (<a href=""Inwentarz_IDCC.html#N05"">Connector 2.0</a>). Zgłoś awarię. W międzyczasie wygeneruj plik w <a href=""Inwentarz_IDCC.html#N08"">KreatorIDCF_CGMES</a> i wyślij go ręcznie przez <a href=""Inwentarz_IDCC.html#P01"">Core CC Tool (Manual Upload)</a>. <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R18"">R18 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
"2CCT — GLSK/CBCORA (źródło Kreator)";"2CCT";"14";"A";"OK";"cz_Wcet";"ciemnozielony W po CET";"czerw";"czerwony";"Dokument wysłany ręcznie z poziomu CCM po CET, a otrzymane ACK: (1) komunikat błędu; (2) proces błąd. Typowo kod 20 gateClosed.";"<strong>Postępowanie:</strong><ol><li>Najedź kursorem na status i odczytaj kod ACK (typowo kod 20)</li></ol><strong>Jeżeli:</strong><ul class=""branch""><li><b>kod 20 (bramka dla pliku zamknięta)</b> → po CET bramka jest zamknięta → zgłoś</li><li><b>inny kod</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul class=""codes""><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"" target=""_blank"" contenteditable=""false"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span class=""rfull"">[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"" target=""_blank"" contenteditable=""false"">R05 — pełny opis</a>]</span></li></ul>";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">2CCT — GLSK/CBCORA (źródło Kreator) — Stan 14 · OK</ac:parameter><ac:rich-text-body><p><strong>Stan kafelków</strong> &nbsp; CCtool wysł.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Green</ac:parameter><ac:parameter ac:name=""title"">W po CET</ac:parameter></ac:structured-macro> &nbsp; CCtool zwalid.: <ac:structured-macro ac:name=""status""><ac:parameter ac:name=""colour"">Red</ac:parameter><ac:parameter ac:name=""title"">czerwony</ac:parameter></ac:structured-macro></p><p><strong>Opis stanu kafelków:</strong> Dokument wysłany ręcznie z poziomu CCM po CET, a otrzymane ACK: (1) komunikat błędu; (2) proces błąd. Typowo kod 20 gateClosed.</p><p><strong>Procedury awaryjne:</strong></p><strong>Postępowanie:</strong><ol><li>Najedź kursorem na status i odczytaj kod ACK (typowo kod 20)</li></ol><strong>Jeżeli:</strong><ul><li><b>kod 20 (bramka dla pliku zamknięta)</b> → po CET bramka jest zamknięta → zgłoś</li><li><b>inny kod</b> → Plik został odrzucony — odczytaj kod błędu z potwierdzenia ACK i zareaguj zależnie od kodu:<ul><li><b>kod 20</b> (bramka dla pliku zamknięta) — zgłoś administratorowi <a href=""Inwentarz_IDCC.html#N02"">Core CC Tool</a></li><li><b>kod 21</b> (wersja nie jest wyższa niż już zapisana) — w źródle podnieś numer wersji i wyślij plik ponownie</li><li><b>kod 30</b> (rozmiar pliku niezgodny) — pobierz poprawny plik i wyślij ponownie</li></ul> <span>[<a href=""Ryzyka_pelna_baza_IDCC.html#R05"">R05 — pełny opis</a>]</span></li></ul></ac:rich-text-body></ac:structured-macro>"
